จังหวัด,รัฐ/เอกชน,โรงพยาบาล,latitude,longitude,google_maps_url
กรุงเทพมหานคร,รัฐ,คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,13.7808145,100.5086484,"https://www.google.com/maps/search/?api=1&query=13.7808145,100.5086484&query_place_id=ChIJP2VYjF-Z4jARid69ULXxpAI"
กรุงเทพมหานคร,รัฐ,ทัณฑสถานโรงพยาบาลราชทัณฑ์,13.8504249,100.5533096,"https://www.google.com/maps/search/?api=1&query=13.8504249,100.5533096&query_place_id=ChIJn02-wuec4jAREGY5R-AZ1L0"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลกลาง,13.7465459,100.5092822,"https://www.google.com/maps/search/?api=1&query=13.7465459,100.5092822&query_place_id=ChIJCZJNzTyZ4jAR7CE9GYZLvSo"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลจุฬาภรณ์,13.8813307,100.5784954,"https://www.google.com/maps/search/?api=1&query=13.8813307,100.5784954&query_place_id=ChIJ6-PYNpyD4jAR70IzDGkVoAs"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย,13.7323844,100.5357643,"https://www.google.com/maps/search/?api=1&query=13.7323844,100.5357643&query_place_id=ChIJ4ccniimf4jARwPXi46NPWNs"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลเจริญกรุงประชารักษ์,13.6944514,100.4946298,"https://www.google.com/maps/search/?api=1&query=13.6944514,100.4946298&query_place_id=ChIJZavoFYOY4jAR_hy573oMpIM"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลตากสิน,13.7304755,100.5086438,"https://www.google.com/maps/search/?api=1&query=13.7304755,100.5086438&query_place_id=ChIJwcYDEd6Y4jARAVqbFnvQ9oQ"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลตำรวจ,13.7426433,100.5385645,"https://www.google.com/maps/search/?api=1&query=13.7426433,100.5385645&query_place_id=ChIJW6L7P9Ce4jARHxYOnmJgYhc"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลนคราภิบาล,13.7226011,100.7840688,"https://www.google.com/maps/search/?api=1&query=13.7226011,100.7840688&query_place_id=ChIJC7ISNohnHTER6ByCOiHdIho"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลนพรัตนราชธานี (สธ),13.8157061,100.6880001,"https://www.google.com/maps/search/?api=1&query=13.8157061,100.6880001&query_place_id=ChIJWebIlp9jHTERwEQMPbMAAQ8"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลผู้สูงอายุบางขุนเทียน,13.573052,100.4233985,"https://www.google.com/maps/search/?api=1&query=13.573052,100.4233985&query_place_id=ChIJEUO0Djy74jARlZr27xy6K3I"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลพระมงกุฎเกล้า,13.76773,100.534366,"https://www.google.com/maps/search/?api=1&query=13.76773,100.534366&query_place_id=ChIJVfT4QbKe4jAR2O4ylLmd5FI"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลภูมิพลอดุลยเดช,13.9092514,100.6178965,"https://www.google.com/maps/search/?api=1&query=13.9092514,100.6178965&query_place_id=ChIJQRJv6YGC4jAREEMMPbMAAQ8"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลราชพิพัฒน์,13.7305052,100.3669313,"https://www.google.com/maps/search/?api=1&query=13.7305052,100.3669313&query_place_id=ChIJEyOsBmaW4jARLcT-nfffizI"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลราชวิถี,13.7643024,100.5367956,"https://www.google.com/maps/search/?api=1&query=13.7643024,100.5367956&query_place_id=ChIJb8ANw7Oe4jARueEOtUVoE0o"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล,13.7660775,100.5267631,"https://www.google.com/maps/search/?api=1&query=13.7660775,100.5267631&query_place_id=ChIJ_aGaqU2Z4jARz2tFjzmb3cQ"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลเลิดสิน (สธ),13.7221964,100.5173902,"https://www.google.com/maps/search/?api=1&query=13.7221964,100.5173902&query_place_id=ChIJnbCResWY4jAR4cmKsontRGE"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลเวชการุณย์รัศม์,13.8568125,100.8590321,"https://www.google.com/maps/search/?api=1&query=13.8568125,100.8590321&query_place_id=ChIJL0yrnyduHTERdLLleLPOayA"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลศิริราช,13.7568186,100.4835109,"https://www.google.com/maps/search/?api=1&query=13.7568186,100.4835109&query_place_id=ChIJR_CqvwqZ4jARwnjxQfzdCp0"
กรุงเทพมหานคร,รัฐ,โรงพยาบาลสมเด็จพระปิ่นเกล้า (กห),13.7101188,100.4868259,"https://www.google.com/maps/search/?api=1&query=13.7101188,100.4868259&query_place_id=ChIJVVXF_oqY4jARC6rhS2Jyjvw"
